tell me something funny, joke
tell me a random joke , joke
make me laugh, joke
tell me a joke about witches, joke
what is a good joke about planes, joke
i want to hear a joke about computers, joke
Tell me something that will make me laugh about cats, joke
tell me something funny about bananas, joke
dogs are cool tell me a joke about them, joke
what is a good joke about spiders, joke
make me laugh by saying something funny about cars, joke
tell me a joke about people, joke
what is a good joke about jobs, joke
i want to hear a joke about bicycles, joke
Tell me something that will make me laugh about birds, joke
tell me something funny about food, joke
rabbits are cool tell me a joke about them, joke
what is a good joke about police officers, joke
make me laugh by saying something funny about school, joke
